rsrp,rsrq,ref_signal_power,cipher_null,integrity_null,tac_change,cell_barred,auth_present,smc_present,reject_cause,label
-71.189244508598,-3.0,27.01774858592403,1,0,0,1,0,0,7,1
-88.48989048027032,-11.096408782342674,15.45550077656805,0,0,0,0,1,1,0,0
-63.517489191466105,-8.455566043501424,30.684652363261325,1,1,0,1,1,0,7,1
-78.51761463580738,-11.53618425795738,17.063833907071377,0,0,0,0,1,1,0,0
-64.31446259551277,-3.0,23.42820721910379,1,1,1,0,1,0,12,1
-73.72492928117855,-8.402369381476213,28.008731567251644,1,0,0,0,1,0,7,1
-87.47768428093129,-9.042715497929278,10.684171251805465,0,0,0,0,1,1,0,1
-69.16939288390081,-9.046378809533719,24.3203417530476,1,1,0,1,0,0,15,1
-88.65322211840059,-10.346496637896804,11.903656460071801,0,0,0,0,1,0,0,0
-69.40070647427268,-4.68018927303018,26.941091831829315,1,1,0,0,0,0,7,1
-97.20113800981348,-7.676515888403886,18.983754739289033,0,0,0,0,1,1,7,0
-73.80161349271035,-5.646841953869121,31.496023457755143,0,1,1,1,1,0,3,1
-92.18372422557661,-3.2968412614069535,15.050314009407334,0,0,0,0,1,1,0,0
-89.28482813895474,-7.936716605200383,9.714543713418923,0,0,0,0,1,1,3,0
-90.56706798940725,-14.360797839794893,13.289742541631501,0,0,0,0,1,0,0,0
-91.91322757954799,-10.488396989897822,16.461949380154017,0,0,0,0,1,1,7,0
-80.61924382052548,-12.25648260420256,18.34245971154498,0,0,0,0,1,1,0,0
-100.11801226199798,-10.371427882988979,19.32940771916694,0,0,0,0,1,1,0,0
-69.41039763933706,-8.994926462463859,21.028704268887118,1,0,0,0,1,0,12,1
-60.1146903463506,-6.04412029658425,26.787239179908482,1,1,1,1,0,1,22,1
-88.3135368294853,-13.193418238378516,20.07049424321562,0,0,0,0,1,1,7,0
-81.35927381932483,-10.606332276509503,27.553296331687427,1,1,0,0,0,1,15,1
-69.63858296238992,-3.0,33.503975881506065,1,0,0,1,0,1,7,1
-94.50466813056033,-9.169123974341904,20.2401587714678,0,0,0,0,1,1,7,0
-58.70410586408371,-3.0,19.82016323147821,1,0,1,1,0,0,0,1
-102.24383244288049,-12.89605358442629,19.927500537157215,0,0,0,0,1,1,0,0
-91.66022433006388,-10.260114102526371,9.649825226828423,0,0,0,0,1,1,0,0
-95.28488588952072,-8.18501987296338,16.94275583676206,0,0,0,0,1,1,0,0
-90.91022548361973,-9.305018667290447,15.345015344900023,0,0,0,0,1,1,0,0
-91.55343197593695,-8.3014367242755,22.28822088537137,0,0,0,0,1,1,0,0
-103.32468842009946,-12.628329772683873,11.636203445318168,0,0,0,0,1,0,0,0
-92.68512674434311,-12.158444637935643,9.126944960524611,0,0,0,0,1,1,0,0
-92.90371350340496,-13.886023553398106,14.87702467095788,0,0,0,0,0,1,0,0
-105.21613155976182,-13.14186143915143,17.816060297286615,0,0,0,0,1,1,0,0
-93.04998015678682,-6.294257835069183,13.004249800152216,0,0,0,0,1,1,0,0
-96.04910024162676,-11.51980808791361,14.379478841870398,1,0,0,0,0,1,0,0
-81.20077760657361,-7.68382442642055,27.021122671880082,1,1,1,0,0,1,7,1
-67.26284417551415,-3.159612193085172,22.838653576730863,1,1,1,0,1,1,7,1
-99.69268068056721,-11.639613379085134,19.551827077600194,0,0,0,0,1,1,3,0
-96.96222276753687,-5.598456247872873,14.917174543575065,0,0,0,0,1,1,3,0
-88.31911003268337,-9.313689913213185,22.572195541690174,0,0,0,0,1,1,0,0
-69.98490810124545,-6.676512557677436,25.953911464378752,0,0,0,0,0,1,15,1
-92.26755559247593,-8.470305254570393,7.408742000400894,0,0,0,0,1,1,0,0
-79.02162775401605,-6.361348924830533,13.211709632528542,0,0,0,0,1,1,3,0
-61.66392927516968,-3.0,26.2769014697121,1,1,1,0,0,0,0,1
-109.89476122594009,-14.000422956202604,16.020328175471032,0,0,0,0,1,1,3,0
-91.52092582829081,-9.220576429583472,15.080149163465247,0,0,0,0,1,1,0,0
-108.631942900883,-8.59654065127103,10.885983036234922,0,0,0,0,1,1,7,0
-105.20549058670338,-5.389103038247066,13.155894877676648,0,0,0,0,1,1,0,0
-76.9391128029975,-3.4085937324185362,21.607198834420014,1,0,1,0,1,1,3,1
-71.87948671193078,-10.817208573754126,24.32565746586742,0,1,1,0,1,0,12,1
-80.30469177342948,-5.450679698231789,12.94545495714036,0,0,0,0,1,1,0,0
-72.77608773030742,-7.684296872029718,25.640357821041228,1,1,0,0,0,0,12,0
-94.75494805924465,-14.703791249291495,12.588086749731985,0,0,0,0,1,1,3,0
-103.60996160255014,-9.365840574855197,13.224393454324975,0,0,0,0,1,1,0,0
-74.78375609754636,-4.436344125000771,19.47778441803669,0,1,0,0,1,0,3,1
-70.8024644938368,-9.805072822334647,37.92703180555762,1,1,0,1,1,1,12,1
-73.91576396240711,-7.661849010083164,28.84617657995672,0,0,1,0,0,0,0,1
-101.4016935728148,-14.598594635058122,15.313800523111645,0,0,0,0,0,1,3,0
-91.93284908517204,-9.58022706388266,8.532162399340216,0,0,0,0,1,1,0,0
-73.02215964555062,-7.038090407858568,29.82025118748888,0,0,0,0,1,0,22,1
-91.89837486990388,-5.7240131695890835,9.964774161262653,0,0,0,0,1,1,0,0
-58.383383198184916,-5.5439014673633675,21.405628804866083,1,0,0,0,1,1,0,1
-97.2136007206857,-14.741017953536605,14.050961123610392,1,0,0,0,1,1,7,0
-64.20795224611562,-3.0214451097112636,32.773462530281435,1,1,0,1,0,0,7,1
-71.75578418567632,-10.035186187753904,28.65029777359918,1,1,1,0,0,0,3,1
-92.35167876003044,-11.405277093698373,12.997527416045386,1,0,0,0,1,1,0,0
-62.001302266448704,-6.440563846825761,31.48249962147731,1,1,1,1,0,0,7,1
-93.09811518134178,-7.58628909524549,21.827070561675892,0,0,0,0,1,1,0,0
-65.26930869824574,-6.446043377107418,23.45218561876141,1,1,0,0,0,0,0,1
-71.00544902646529,-3.1815375888127346,34.40386658071585,0,0,0,1,1,1,0,1
-105.01317771284911,-12.109207242693406,19.263910518972537,0,0,0,0,1,1,0,0
-64.00042317208788,-8.43877295514552,25.860408510452846,0,1,1,0,1,0,3,1
-106.01852524416294,-6.8986414961833,20.84719667018922,0,0,0,0,1,1,0,0
-85.91161053155658,-13.073586738739019,11.894102367406544,1,0,0,0,1,1,0,0
